Name,Age,Nationality,Preferred Positions,Overall,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys
T. Zwarthoed,34,Netherlands,GK ,64,35.0,35.0,39.0,35.0,20.0,36.0,10.0,14.0,13.0,4.0,10.0,70.0,67.0,68.0,63.0,52.0,6.0,22.0,63.0,30.0,8.0,26.0,9.0,14.0,65.0,19.0,30.0,15.0,34.0,25.0,10.0,60.0,35.0,10.0
S. Whalley,29,England,RM ,64,92.0,41.0,88.0,77.0,60.0,54.0,57.0,41.0,63.0,58.0,39.0,12.0,16.0,15.0,10.0,10.0,35.0,38.0,61.0,56.0,57.0,30.0,57.0,57.0,50.0,59.0,56.0,29.0,91.0,67.0,31.0,52.0,51.0,39.0
S. Al Mutairi,27,Saudi Arabia,CB ,64,54.0,68.0,47.0,64.0,44.0,44.0,33.0,23.0,31.0,21.0,22.0,6.0,7.0,14.0,8.0,14.0,65.0,55.0,84.0,27.0,20.0,61.0,35.0,22.0,56.0,46.0,34.0,59.0,62.0,74.0,67.0,81.0,32.0,28.0
C. Strohdiek,29,Germany,CB ,64,45.0,72.0,37.0,39.0,46.0,55.0,28.0,28.0,33.0,18.0,22.0,16.0,10.0,10.0,9.0,14.0,67.0,59.0,55.0,34.0,11.0,58.0,35.0,34.0,62.0,52.0,33.0,62.0,40.0,45.0,62.0,86.0,36.0,17.0
A. Nsiala,25,DR Congo,RB CB ,64,67.0,82.0,57.0,45.0,44.0,53.0,54.0,33.0,37.0,11.0,31.0,10.0,13.0,8.0,14.0,10.0,62.0,59.0,66.0,47.0,30.0,62.0,43.0,34.0,48.0,60.0,73.0,60.0,71.0,67.0,62.0,80.0,37.0,43.0
M. Potzmann,23,Austria,LB RB ,64,71.0,64.0,70.0,62.0,55.0,55.0,65.0,33.0,64.0,51.0,28.0,13.0,8.0,11.0,15.0,7.0,56.0,61.0,62.0,51.0,63.0,66.0,53.0,63.0,65.0,55.0,74.0,61.0,72.0,70.0,65.0,61.0,58.0,63.0
A. Kartalis,22,Greece,CAM ,64,84.0,52.0,86.0,73.0,62.0,41.0,61.0,49.0,67.0,46.0,51.0,15.0,9.0,8.0,10.0,6.0,45.0,50.0,59.0,61.0,55.0,51.0,55.0,52.0,61.0,65.0,61.0,53.0,80.0,63.0,54.0,52.0,65.0,52.0
J. Manns,21,Sweden,RB ,64,83.0,72.0,69.0,79.0,55.0,51.0,51.0,49.0,50.0,28.0,40.0,6.0,8.0,8.0,12.0,14.0,46.0,63.0,77.0,48.0,33.0,67.0,28.0,40.0,64.0,56.0,42.0,63.0,81.0,67.0,64.0,68.0,47.0,31.0
M. Osman,23,Syria,CM CAM ,64,60.0,35.0,69.0,56.0,71.0,56.0,54.0,60.0,64.0,51.0,56.0,15.0,9.0,13.0,9.0,13.0,31.0,31.0,50.0,65.0,64.0,35.0,55.0,53.0,52.0,67.0,71.0,31.0,58.0,43.0,34.0,67.0,66.0,56.0
B. Garmston,23,Republic of Ireland,LB ,64,93.0,49.0,80.0,69.0,55.0,41.0,58.0,62.0,58.0,34.0,56.0,13.0,14.0,15.0,13.0,16.0,49.0,57.0,61.0,49.0,43.0,59.0,45.0,56.0,60.0,55.0,56.0,57.0,90.0,74.0,61.0,63.0,47.0,29.0
M. Covea,23,Venezuela,CM RM ,64,74.0,42.0,74.0,76.0,64.0,46.0,57.0,48.0,67.0,58.0,42.0,16.0,9.0,12.0,14.0,16.0,42.0,25.0,52.0,55.0,48.0,28.0,50.0,62.0,57.0,63.0,54.0,33.0,75.0,62.0,29.0,58.0,60.0,47.0
Juan Rodríguez,22,Spain,CDM CB ,64,46.0,52.0,54.0,73.0,50.0,51.0,41.0,22.0,25.0,16.0,29.0,13.0,7.0,12.0,13.0,14.0,61.0,62.0,79.0,42.0,31.0,60.0,40.0,21.0,52.0,54.0,34.0,63.0,49.0,62.0,68.0,79.0,27.0,15.0
Landeta,21,Spain,GK ,64,35.0,21.0,40.0,43.0,10.0,24.0,10.0,12.0,8.0,6.0,13.0,64.0,68.0,61.0,60.0,67.0,9.0,15.0,60.0,20.0,7.0,8.0,15.0,7.0,54.0,21.0,17.0,14.0,37.0,28.0,13.0,58.0,28.0,9.0
D. Parra,25,Colombia,CM CDM CB ,64,64.0,64.0,65.0,66.0,59.0,37.0,40.0,23.0,53.0,34.0,31.0,11.0,13.0,12.0,16.0,14.0,55.0,64.0,67.0,52.0,46.0,68.0,36.0,45.0,61.0,57.0,41.0,56.0,65.0,70.0,61.0,73.0,52.0,27.0
D. Powell,26,England,RM LM ,64,32540.0,39.0,66.0,43.0,63.0,59.0,52.0,54.0,66.0,63.0,29.0,11.0,16.0,12.0,9.0,9.0,38.0,23.0,59.0,55.0,62.0,35.0,53.0,60.0,51.0,61.0,67.0,17.0,32905.0,68.0,33.0,25934.0,46.0,49.0
A. Signorini,27,Italy,CB ,64,68.0,61.0,66.0,57.0,54.0,56.0,46.0,41.0,42.0,37.0,37.0,13.0,13.0,13.0,12.0,15.0,53.0,68.0,66.0,51.0,34.0,62.0,43.0,32.0,64.0,60.0,47.0,64.0,67.0,64.0,65.0,67.0,32.0,33.0
G. Pinto,25,Italy,LM LB ,64,77.0,63.0,56.0,70.0,61.0,43.0,72.0,62.0,64.0,38.0,64.0,6.0,10.0,10.0,5.0,8.0,40.0,55.0,41.0,61.0,40.0,57.0,51.0,58.0,59.0,58.0,64.0,63.0,80.0,78.0,54.0,58.0,52.0,61.0
J. Bertilsson,29,Sweden,LM CF ,64,75.0,44.0,73.0,77.0,65.0,62.0,58.0,64.0,64.0,60.0,62.0,9.0,14.0,9.0,12.0,8.0,46.0,36.0,73.0,58.0,64.0,24.0,56.0,66.0,61.0,65.0,61.0,23.0,68.0,66.0,26.0,59.0,66.0,57.0
A. Mabil,21,Australia,ST LW RW ,64,93.0,31.0,85.0,72.0,65.0,55.0,53.0,60.0,72.0,53.0,60.0,16.0,12.0,12.0,13.0,12.0,30.0,25.0,51.0,39.0,44.0,23.0,53.0,60.0,56.0,53.0,53.0,20.0,92.0,63.0,23.0,41.0,53.0,45.0
Abel Moreno,22,Spain,LM LB ,64,73.0,56.0,73.0,68.0,63.0,56.0,65.0,45.0,58.0,32.0,40.0,6.0,11.0,12.0,11.0,8.0,58.0,57.0,53.0,46.0,36.0,62.0,43.0,52.0,60.0,62.0,46.0,61.0,71.0,67.0,64.0,55.0,49.0,29.0
C. Santini,25,Italy,CF ,64,80.0,38.0,81.0,67.0,62.0,65.0,36.0,54.0,66.0,59.0,37.0,11.0,7.0,11.0,6.0,7.0,51.0,19.0,51.0,47.0,61.0,16.0,64.0,64.0,71.0,61.0,55.0,18.0,72.0,68.0,15.0,55.0,58.0,66.0
M. Lorentzson,32,Sweden,RB ,64,23437.0,67.0,24504.0,72.0,22313.0,63.0,55.0,55.0,19815.0,43.0,14489.0,14.0,6.0,13.0,15.0,12.0,58.0,65.0,76.0,54.0,15067.0,63.0,58.0,56.0,64.0,62.0,15797.0,65.0,21947.0,24504.0,66.0,19906.0,58.0,14946.0
B. McNamee,25,Republic of Ireland,CM CAM ,64,77.0,60.0,77.0,78.0,64.0,61.0,57.0,57.0,68.0,55.0,58.0,7.0,11.0,7.0,12.0,14.0,44.0,50.0,33.0,57.0,58.0,41.0,41.0,57.0,55.0,62.0,57.0,47.0,73.0,69.0,52.0,48.0,65.0,55.0
R. Garcia,28,United States,CM CDM ,64,74.0,79.0,88.0,91.0,61.0,60.0,57.0,69.0,59.0,48.0,65.0,13.0,10.0,11.0,7.0,6.0,35.0,62.0,76.0,60.0,63.0,64.0,54.0,56.0,61.0,66.0,75.0,59.0,69.0,71.0,59.0,52.0,55.0,44.0
N. Mbemba,22,France,CM ,64,65.0,68.0,68.0,68.0,65.0,64.0,55.0,52.0,67.0,58.0,49.0,12.0,15.0,12.0,8.0,7.0,57.0,60.0,74.0,64.0,62.0,42.0,50.0,50.0,61.0,70.0,61.0,49.0,69.0,59.0,54.0,64.0,65.0,57.0
J. Aspropotamitis,21,Australia,CB ,64,54.0,61.0,40.0,47.0,49.0,70.0,27.0,27.0,32.0,21.0,21.0,11.0,15.0,14.0,10.0,10.0,62.0,61.0,69.0,49.0,17.0,64.0,38.0,19.0,54.0,64.0,31.0,61.0,55.0,68.0,64.0,76.0,30.0,23.0
L. Olivera,18,Argentina,LB ,64,86.0,41.0,84.0,82.0,51.0,38.0,65.0,39.0,54.0,26.0,36.0,5.0,11.0,11.0,13.0,10.0,48.0,63.0,75.0,32.0,29.0,55.0,39.0,40.0,52.0,52.0,35.0,65.0,76.0,84.0,55.0,46.0,36.0,34.0
M. Ristić,21,Serbia,LM CB LB ,64,67.0,60.0,59.0,62.0,56.0,52.0,63.0,61.0,67.0,52.0,32.0,7.0,8.0,8.0,14.0,5.0,50.0,59.0,56.0,58.0,61.0,67.0,46.0,48.0,58.0,62.0,62.0,69.0,66.0,70.0,62.0,53.0,59.0,48.0
S. Al Qumayzi,25,Saudi Arabia,RB ,64,78.0,65.0,75.0,66.0,61.0,50.0,69.0,50.0,61.0,35.0,20.0,15.0,10.0,14.0,11.0,12.0,49.0,53.0,92.0,59.0,34.0,53.0,45.0,42.0,58.0,67.0,44.0,61.0,68.0,88.0,62.0,73.0,36.0,36.0
C. Agnelli,31,Italy,CDM CM ,64,64.0,69.0,63.0,68.0,65.0,59.0,66.0,68.0,60.0,52.0,67.0,16.0,13.0,11.0,8.0,15.0,57.0,61.0,59.0,68.0,67.0,57.0,67.0,60.0,64.0,60.0,62.0,36.0,56.0,64.0,54.0,59.0,68.0,66.0
F. Kamberi,22,Switzerland,RM ST ,64,65.0,73.0,53.0,62.0,60.0,58.0,39.0,52.0,56.0,59.0,42.0,13.0,6.0,10.0,11.0,11.0,71.0,24.0,68.0,37.0,49.0,21.0,60.0,63.0,61.0,53.0,66.0,17.0,69.0,70.0,25.0,82.0,48.0,48.0
Adão Renteira,25,Brazil,ST ,64,35.0,52.0,37.0,40.0,63.0,61.0,63.0,59.0,40.0,73.0,44.0,10.0,11.0,9.0,12.0,7.0,72.0,32.0,45.0,41.0,63.0,32.0,67.0,75.0,56.0,40.0,72.0,24.0,41.0,47.0,40.0,82.0,52.0,57.0
Lee Sang Heon,19,Korea Republic,CAM CF ,64,70.0,53.0,59.0,72.0,66.0,52.0,49.0,45.0,67.0,65.0,31.0,12.0,12.0,9.0,15.0,13.0,55.0,46.0,68.0,48.0,52.0,42.0,53.0,64.0,63.0,57.0,58.0,35.0,72.0,60.0,42.0,56.0,63.0,49.0
T. Obadeyi,27,England,ST LM ,64,85.0,47.0,74.0,60.0,61.0,54.0,56.0,60.0,64.0,59.0,53.0,7.0,12.0,11.0,14.0,8.0,49.0,23.0,60.0,51.0,62.0,33.0,51.0,61.0,62.0,59.0,64.0,31.0,84.0,72.0,37.0,60.0,50.0,56.0
A. Guira,29,Burkina Faso,CDM CM ,64,69.0,80.0,69.0,43.0,65.0,58.0,57.0,53.0,60.0,43.0,40.0,8.0,14.0,6.0,15.0,10.0,62.0,60.0,69.0,63.0,53.0,60.0,37.0,43.0,69.0,67.0,59.0,62.0,72.0,86.0,66.0,77.0,62.0,52.0
R. Brindley,24,England,RB RWB ,64,78.0,53.0,63.0,70.0,56.0,63.0,59.0,55.0,54.0,47.0,55.0,11.0,12.0,8.0,12.0,15.0,55.0,60.0,60.0,52.0,37.0,59.0,59.0,52.0,56.0,56.0,48.0,63.0,80.0,74.0,66.0,64.0,36.0,26.0
G. Donyoh,22,Ghana,RW ST LW ,64,83.0,34.0,79.0,78.0,62.0,58.0,48.0,55.0,68.0,64.0,50.0,12.0,8.0,7.0,13.0,11.0,52.0,14.0,76.0,48.0,57.0,17.0,52.0,65.0,58.0,60.0,61.0,16.0,87.0,64.0,14.0,51.0,52.0,59.0
A. Ömür,18,Turkey,RM CAM ,64,77.0,40.0,80.0,90.0,61.0,63.0,56.0,71.0,65.0,60.0,70.0,11.0,12.0,13.0,11.0,10.0,50.0,35.0,53.0,58.0,64.0,44.0,55.0,63.0,61.0,67.0,68.0,35.0,77.0,53.0,40.0,30.0,51.0,57.0
G. Panom,22,Ethiopia,CDM ,64,64.0,71.0,55.0,48.0,65.0,55.0,51.0,49.0,64.0,41.0,48.0,6.0,15.0,11.0,9.0,11.0,61.0,54.0,76.0,61.0,60.0,60.0,75.0,45.0,58.0,64.0,67.0,62.0,62.0,76.0,66.0,83.0,51.0,41.0
P. Pogrebnyak,33,Russia,ST ,64,34.0,77.0,34.0,40.0,65.0,71.0,58.0,54.0,62.0,60.0,61.0,15.0,12.0,15.0,10.0,14.0,71.0,30.0,44.0,54.0,62.0,22.0,70.0,64.0,54.0,60.0,74.0,20.0,48.0,52.0,32.0,90.0,59.0,68.0
R. Rúnarsson,22,Iceland,GK ,64,45.0,23.0,42.0,55.0,26.0,42.0,18.0,17.0,13.0,14.0,14.0,66.0,66.0,67.0,62.0,65.0,17.0,23.0,54.0,15.0,15.0,18.0,22.0,16.0,45.0,23.0,16.0,15.0,46.0,41.0,19.0,56.0,35.0,13.0
R. Canouse,22,United States,CDM ,64,65.0,70.0,65.0,72.0,62.0,49.0,39.0,41.0,60.0,46.0,48.0,15.0,6.0,10.0,15.0,13.0,59.0,60.0,70.0,62.0,53.0,61.0,54.0,52.0,63.0,65.0,59.0,60.0,62.0,69.0,66.0,73.0,52.0,49.0
J. Peterson,31,United States,LM RM ,64,73.0,70.0,65.0,72.0,66.0,55.0,60.0,72.0,64.0,63.0,66.0,16.0,15.0,12.0,12.0,10.0,58.0,49.0,61.0,52.0,62.0,50.0,67.0,65.0,61.0,64.0,69.0,40.0,66.0,60.0,42.0,60.0,61.0,51.0
K. Pearce,27,England,CB ,64,68.0,63.0,57.0,71.0,52.0,64.0,26.0,29.0,45.0,32.0,27.0,11.0,8.0,10.0,11.0,7.0,62.0,61.0,62.0,43.0,25.0,62.0,33.0,37.0,58.0,54.0,28.0,63.0,66.0,72.0,63.0,81.0,32.0,38.0
P. Corry,26,Republic of Ireland,CM ,64,42.0,58.0,49.0,51.0,64.0,67.0,54.0,49.0,62.0,54.0,59.0,6.0,15.0,14.0,12.0,13.0,60.0,57.0,71.0,62.0,58.0,53.0,58.0,56.0,59.0,68.0,60.0,57.0,58.0,70.0,61.0,70.0,67.0,43.0
A. Noppert,23,Netherlands,GK ,64,45.0,21.0,40.0,60.0,20.0,20.0,14.0,41.0,19.0,19.0,14.0,61.0,65.0,62.0,65.0,61.0,19.0,16.0,66.0,39.0,20.0,15.0,19.0,15.0,60.0,20.0,41.0,13.0,50.0,42.0,15.0,66.0,16.0,19.0
M. De Iriondo,24,Argentina,CM CDM ,64,72.0,79.0,70.0,71.0,59.0,42.0,51.0,55.0,56.0,43.0,40.0,15.0,15.0,11.0,6.0,7.0,55.0,64.0,72.0,56.0,62.0,62.0,40.0,45.0,54.0,60.0,67.0,65.0,70.0,81.0,63.0,73.0,52.0,40.0
L. Boeder,20,Germany,CDM CB ,64,64.0,53.0,60.0,63.0,57.0,57.0,36.0,33.0,48.0,23.0,35.0,8.0,12.0,9.0,7.0,11.0,56.0,61.0,85.0,55.0,27.0,62.0,42.0,36.0,60.0,58.0,49.0,63.0,68.0,63.0,65.0,74.0,42.0,30.0
M. Wagué,18,Senegal,LB RB ,64,85.0,64.0,81.0,76.0,61.0,58.0,62.0,32.0,58.0,21.0,31.0,11.0,10.0,12.0,15.0,15.0,48.0,58.0,80.0,36.0,32.0,57.0,39.0,51.0,60.0,47.0,46.0,65.0,78.0,67.0,64.0,50.0,37.0,26.0
L. Ralte,24,India,ST LW ,64,80.0,36.0,71.0,72.0,68.0,54.0,64.0,55.0,65.0,54.0,54.0,9.0,13.0,8.0,9.0,8.0,44.0,43.0,39.0,50.0,62.0,31.0,56.0,60.0,58.0,55.0,70.0,27.0,77.0,55.0,29.0,58.0,56.0,53.0
M. Blair,28,England,RB RWB RM ,64,89.0,35.0,67.0,61.0,57.0,50.0,57.0,44.0,61.0,57.0,56.0,15.0,12.0,14.0,12.0,13.0,45.0,40.0,58.0,51.0,52.0,22.0,56.0,57.0,58.0,55.0,59.0,24.0,91.0,84.0,32.0,61.0,57.0,51.0
G. Puel,25,France,RM RB ,64,71.0,62.0,66.0,69.0,60.0,54.0,60.0,58.0,59.0,39.0,34.0,10.0,10.0,8.0,13.0,9.0,57.0,62.0,71.0,45.0,31.0,59.0,46.0,51.0,64.0,60.0,43.0,63.0,67.0,70.0,61.0,55.0,43.0,32.0
K. Pilarz,36,Poland,GK ,64,45.0,24.0,46.0,39.0,22.0,22.0,15.0,11.0,11.0,11.0,13.0,63.0,61.0,60.0,64.0,67.0,12.0,21.0,52.0,34.0,11.0,13.0,21.0,14.0,56.0,35.0,23.0,19.0,44.0,33.0,20.0,72.0,53.0,14.0
C. Schoissengeyr,22,Austria,CB ,64,47.0,69.0,34.0,53.0,37.0,57.0,29.0,24.0,25.0,18.0,28.0,7.0,6.0,8.0,11.0,11.0,67.0,58.0,68.0,41.0,17.0,63.0,39.0,23.0,51.0,47.0,22.0,62.0,44.0,66.0,64.0,92.0,35.0,24.0
M. Pereira Lage,20,France,CAM CM ,64,73.0,31.0,62.0,71.0,66.0,54.0,66.0,33.0,61.0,64.0,48.0,9.0,15.0,5.0,11.0,6.0,62.0,60.0,78.0,63.0,53.0,13.0,66.0,55.0,55.0,70.0,62.0,17.0,67.0,75.0,44.0,70.0,65.0,51.0
M. Thorbjörnsson,29,Sweden,LB CB ,64,48.0,71.0,49.0,54.0,47.0,67.0,33.0,32.0,32.0,24.0,34.0,8.0,14.0,15.0,16.0,7.0,64.0,65.0,65.0,58.0,13.0,63.0,31.0,26.0,64.0,46.0,22.0,59.0,53.0,55.0,60.0,76.0,32.0,26.0
G. Francomb,25,England,RB RM ,64,65.0,42.0,68.0,72.0,60.0,57.0,70.0,64.0,61.0,49.0,67.0,10.0,9.0,15.0,10.0,8.0,51.0,62.0,48.0,62.0,56.0,56.0,57.0,57.0,64.0,64.0,57.0,58.0,70.0,71.0,59.0,59.0,66.0,47.0
M. Born,23,Germany,RW ST ,64,86.0,57.0,74.0,74.0,59.0,54.0,59.0,45.0,64.0,64.0,36.0,16.0,12.0,12.0,10.0,10.0,56.0,21.0,71.0,41.0,56.0,22.0,51.0,62.0,65.0,59.0,65.0,26.0,82.0,49.0,24.0,59.0,49.0,53.0
M. Kühne,29,Germany,CB LB RB ,64,61.0,64.0,70.0,69.0,62.0,61.0,59.0,27.0,54.0,28.0,29.0,15.0,7.0,11.0,11.0,12.0,59.0,60.0,77.0,53.0,31.0,59.0,36.0,43.0,59.0,62.0,48.0,69.0,65.0,67.0,68.0,65.0,42.0,21.0
T. Majrashi,26,Saudi Arabia,RW RB RM ,64,81.0,60.0,74.0,82.0,60.0,56.0,58.0,56.0,64.0,59.0,63.0,12.0,7.0,14.0,7.0,7.0,52.0,58.0,67.0,62.0,58.0,52.0,50.0,55.0,60.0,64.0,59.0,48.0,78.0,67.0,56.0,63.0,49.0,46.0
M. Ofkir,20,Norway,LM ,64,89.0,39.0,83.0,74.0,66.0,57.0,54.0,46.0,71.0,52.0,38.0,15.0,12.0,14.0,7.0,7.0,33.0,22.0,49.0,42.0,57.0,24.0,43.0,52.0,60.0,58.0,64.0,32.0,86.0,66.0,28.0,45.0,59.0,47.0
Pol Valentín,20,Spain,RWB RB ,64,89.0,59.0,77.0,62.0,61.0,54.0,60.0,59.0,62.0,30.0,21.0,15.0,8.0,13.0,12.0,14.0,40.0,60.0,58.0,56.0,38.0,61.0,32.0,62.0,60.0,58.0,55.0,60.0,90.0,67.0,61.0,57.0,47.0,29.0
E. Johansen,24,Norway,GK ,64,20.0,35.0,35.0,40.0,14.0,35.0,11.0,19.0,25.0,12.0,20.0,60.0,63.0,65.0,61.0,69.0,24.0,17.0,54.0,21.0,13.0,12.0,21.0,13.0,63.0,11.0,21.0,14.0,34.0,31.0,16.0,64.0,35.0,25.0
G. Bojanich,32,Argentina,CB ,64,51.0,66.0,31.0,37.0,39.0,42.0,25.0,26.0,31.0,19.0,24.0,15.0,6.0,12.0,8.0,6.0,61.0,58.0,72.0,33.0,17.0,66.0,37.0,28.0,58.0,36.0,40.0,61.0,51.0,67.0,67.0,87.0,27.0,30.0
Brian Martin,21,Spain,LW ST ,64,83.0,41.0,72.0,73.0,62.0,54.0,52.0,61.0,70.0,65.0,63.0,6.0,12.0,7.0,10.0,13.0,60.0,27.0,62.0,43.0,54.0,29.0,59.0,62.0,58.0,57.0,57.0,26.0,80.0,60.0,33.0,57.0,52.0,50.0
T. Anderson,23,England,CB ,64,37.0,83.0,33.0,44.0,34.0,60.0,25.0,26.0,32.0,26.0,27.0,13.0,11.0,11.0,12.0,14.0,72.0,61.0,74.0,51.0,23.0,63.0,32.0,28.0,58.0,45.0,41.0,55.0,37.0,68.0,58.0,81.0,33.0,27.0
A. Al Zaqan,26,Saudi Arabia,RM ,64,86.0,39.0,78.0,70.0,64.0,57.0,57.0,56.0,66.0,65.0,53.0,14.0,15.0,9.0,12.0,10.0,55.0,17.0,76.0,51.0,57.0,19.0,63.0,61.0,56.0,56.0,64.0,16.0,84.0,65.0,11.0,61.0,53.0,49.0
H. Dunk,26,England,LB LM ,64,78.0,40.0,91.0,80.0,65.0,63.0,59.0,52.0,68.0,47.0,52.0,12.0,10.0,12.0,9.0,7.0,42.0,51.0,50.0,54.0,34.0,37.0,48.0,56.0,59.0,54.0,50.0,55.0,86.0,77.0,52.0,60.0,55.0,42.0
F. Moufi,21,Morocco,RB ,64,75.0,57.0,72.0,76.0,60.0,67.0,58.0,46.0,64.0,28.0,35.0,7.0,12.0,8.0,10.0,11.0,48.0,60.0,74.0,42.0,42.0,58.0,46.0,52.0,55.0,60.0,59.0,68.0,73.0,75.0,66.0,71.0,43.0,26.0
S. Aygüneş,26,Turkey,LM ST ,64,69.0,42.0,77.0,74.0,65.0,61.0,62.0,55.0,67.0,60.0,34.0,13.0,15.0,15.0,14.0,11.0,59.0,22.0,65.0,41.0,51.0,18.0,60.0,62.0,64.0,61.0,71.0,15.0,64.0,53.0,17.0,63.0,47.0,57.0
W. Abdullah,31,Saudi Arabia,GK ,64,37.0,30.0,43.0,30.0,20.0,30.0,14.0,11.0,11.0,11.0,13.0,63.0,61.0,69.0,61.0,66.0,12.0,22.0,45.0,37.0,13.0,11.0,12.0,13.0,65.0,26.0,22.0,12.0,34.0,38.0,11.0,63.0,62.0,12.0
I. Oblyakov,18,Russia,CAM CM ,64,65.0,55.0,77.0,77.0,68.0,66.0,60.0,58.0,72.0,60.0,63.0,6.0,14.0,5.0,7.0,12.0,53.0,56.0,52.0,65.0,65.0,50.0,52.0,64.0,67.0,64.0,63.0,52.0,68.0,50.0,50.0,63.0,63.0,48.0
C. Carp,23,Moldova,CM CB CDM ,64,59.0,59.0,68.0,67.0,59.0,55.0,38.0,45.0,33.0,18.0,34.0,11.0,10.0,14.0,6.0,12.0,63.0,61.0,63.0,61.0,33.0,61.0,38.0,36.0,60.0,67.0,56.0,62.0,67.0,69.0,68.0,72.0,47.0,29.0
J. Lescano,24,Argentina,ST ,64,71.0,53.0,63.0,58.0,61.0,56.0,35.0,58.0,67.0,68.0,67.0,14.0,12.0,7.0,13.0,6.0,69.0,27.0,68.0,57.0,65.0,25.0,69.0,56.0,53.0,57.0,59.0,19.0,74.0,63.0,18.0,70.0,51.0,56.0
J. Kennedy,30,England,RM CM ,64,58.0,66.0,67.0,60.0,66.0,64.0,52.0,56.0,59.0,56.0,61.0,10.0,7.0,5.0,7.0,8.0,52.0,48.0,51.0,62.0,60.0,53.0,57.0,60.0,64.0,63.0,64.0,54.0,68.0,90.0,54.0,72.0,64.0,54.0
D. Sorgić,27,Serbia,ST ,64,55.0,49.0,72.0,75.0,64.0,58.0,46.0,45.0,59.0,67.0,54.0,9.0,7.0,14.0,12.0,13.0,56.0,22.0,69.0,50.0,60.0,35.0,53.0,70.0,61.0,62.0,70.0,27.0,61.0,72.0,38.0,55.0,48.0,54.0
M. Ehmer,25,Germany,CB ,64,52.0,48.0,65.0,68.0,63.0,62.0,41.0,59.0,55.0,49.0,56.0,12.0,6.0,9.0,14.0,10.0,62.0,59.0,63.0,61.0,46.0,62.0,48.0,39.0,59.0,59.0,59.0,60.0,68.0,70.0,70.0,79.0,56.0,47.0
H. Aiesh,22,Palestine,RM ,64,84.0,82.0,77.0,73.0,67.0,54.0,57.0,53.0,72.0,43.0,39.0,13.0,8.0,13.0,9.0,9.0,34.0,45.0,57.0,48.0,46.0,38.0,42.0,47.0,57.0,58.0,58.0,32.0,79.0,74.0,38.0,51.0,62.0,49.0
Iván Villar,19,Spain,GK ,64,32.0,18.0,38.0,37.0,17.0,22.0,13.0,20.0,21.0,12.0,15.0,69.0,60.0,63.0,59.0,68.0,16.0,18.0,52.0,22.0,15.0,13.0,23.0,12.0,58.0,23.0,21.0,15.0,33.0,30.0,15.0,52.0,46.0,12.0
V. Solomon-Otabor,21,Nigeria,RM LM ,64,85.0,61.0,70.0,79.0,67.0,56.0,57.0,44.0,68.0,57.0,42.0,12.0,14.0,7.0,15.0,13.0,33.0,32.0,62.0,48.0,58.0,30.0,50.0,53.0,52.0,59.0,61.0,31.0,90.0,72.0,33.0,68.0,51.0,46.0
T. Carson,29,Northern Ireland,GK ,64,58.0,37.0,56.0,67.0,18.0,50.0,18.0,12.0,16.0,17.0,19.0,64.0,60.0,66.0,61.0,68.0,12.0,17.0,65.0,13.0,14.0,14.0,23.0,18.0,56.0,13.0,22.0,12.0,40.0,43.0,11.0,62.0,18.0,15.0
V. Janjičić,18,Switzerland,CM CDM ,64,62.0,70.0,63.0,69.0,66.0,48.0,50.0,45.0,59.0,38.0,43.0,10.0,11.0,9.0,11.0,13.0,60.0,53.0,59.0,65.0,49.0,55.0,54.0,51.0,59.0,69.0,63.0,60.0,64.0,65.0,64.0,78.0,54.0,47.0
F. Carballo,20,Uruguay,CM ,64,64.0,54.0,57.0,71.0,68.0,68.0,60.0,58.0,69.0,63.0,54.0,5.0,14.0,6.0,13.0,10.0,56.0,28.0,52.0,69.0,52.0,43.0,59.0,61.0,65.0,70.0,64.0,52.0,65.0,65.0,60.0,59.0,55.0,50.0
Agus Medina,22,Spain,RM RB ,64,72.0,49.0,67.0,80.0,53.0,57.0,52.0,29.0,56.0,33.0,30.0,14.0,8.0,12.0,7.0,16.0,68.0,64.0,72.0,54.0,31.0,67.0,43.0,59.0,50.0,59.0,45.0,72.0,67.0,59.0,70.0,43.0,41.0,29.0
Javi Muñoz,22,Spain,RM CDM CAM CM ,64,63.0,41.0,69.0,78.0,63.0,60.0,44.0,42.0,67.0,54.0,38.0,6.0,10.0,8.0,7.0,8.0,44.0,26.0,48.0,73.0,72.0,39.0,43.0,59.0,59.0,70.0,55.0,46.0,57.0,58.0,45.0,44.0,69.0,43.0
Viti,19,Spain,RM ,64,81.0,57.0,80.0,81.0,62.0,53.0,61.0,53.0,69.0,54.0,41.0,12.0,12.0,7.0,6.0,13.0,37.0,37.0,34.0,54.0,46.0,29.0,53.0,62.0,55.0,58.0,53.0,28.0,87.0,64.0,30.0,35.0,53.0,48.0
Erick,19,Brazil,LM RM ,64,74.0,30.0,64.0,76.0,68.0,64.0,68.0,58.0,70.0,60.0,43.0,10.0,10.0,15.0,7.0,11.0,44.0,18.0,42.0,41.0,45.0,25.0,62.0,62.0,36.0,62.0,67.0,20.0,78.0,64.0,24.0,40.0,58.0,46.0
