shirt_no.,name,jersey_name,position,birthdate,team,club,club_country
10,Percy Muzi Tau,Tau,FW,13.05.1994,South Africa,Al Ahly Club,Égypte
11,Themba Zwane,Zwane,FW,03.08.1989,South Africa,Mamelodi Sundowns FC,"Afrique
Du Sud"
12,Thapelo Maseko,Maseko,DF,11.11.2003,South Africa,Mamelodi Sundowns FC,"Afrique
Du Sud"
13,Sphephelo Sithole,Sithole,MF,03.03.1999,South Africa,Tondela,Portugal
14,Mothobi Mvala,Mvala,DF,14.06.1994,South Africa,Mamelodi Sundowns FC,"Afrique
Du Sud"
15,Thabang Amod Monare,Monare,MF,16.09.1989,South Africa,Orlando Pirates,"Afrique Du
Sud"
16,Veli Mothwa,Mothwa,GK,12.02.1991,South Africa,Amazulu FC,Afrique Du Sud
17,Lerato Zakhele Lepasa,Lepasa,FW,03.01.1997,South Africa,Orlando Pirates,"Afrique Du
Sud"
18,Gomolemo Grant Kekana,Kekana,DF,31.10.1992,South Africa,Mamelodi Sundowns FC,"Afrique
Du Sud"
19,Nkosinathi Emmanuel Sibisi,Sibisi,DF,22.09.1995,South Africa,Orlando Pirates,"Afrique Du
Sud"
20,Khuliso Johnson Mudau,Mudau,DF,26.04.1995,South Africa,Mamelodi Sundowns FC,"Afrique
Du Sud"
21,Mihlali Mayambela,Mayambela,FW,25.08.1996,South Africa,ARIS LIMASSOL,Chypre
22,Stuart Ricardo Goss,Goss,GK,02.04.1994,South Africa,Supersport United,"Afrique Du
Sud"
23,Thapelo James Morena,Morena,DF,06.08.1993,South Africa,Mamelodi Sundowns FC,"Afrique
Du Sud"
24,Tapelo Xoki,Xoki,DF,10.04.1995,South Africa,Orlando Pirates,"Afrique Du
Sud"
25,Sibongiseni Mthethwa,Mthethwa,MF,19.04.1994,South Africa,Kaizer Chiefs FC,"Afrique Du
Sud"
26,Elias Sepho Mokwana,Mokwana,FW,08.09.1999,South Africa,Sekhukhune United,"Afrique Du
Sud"
1,Kwesi Zion Pira Kawawa,Kawawa,GK,05.12.2001,Tanzania,IFK Haninge,Suède
2,Haji Mnoga,Mnoga,MF,16.04.2004,Tanzania,ALDERSHOT TOWN,Angleterre
3,Mudathir Yahya Abbas,Mudathir,MF,06.05.1996,Tanzania,YANGA SC,Tanzanie
4,Ibrahim Abdulla Hamad,Ibrahim,DF,12.11.1997,Tanzania,YANGA SC,Tanzanie
5,Dickson Nickson Job,Dickson,DF,29.12.2000,Tanzania,YANGA SC,Tanzanie
6,Feisal Salum Abdalla,Fei toto,MF,11.01.1998,Tanzania,Azam Football Club,Tanzanie
7,Himid Mao Mkami,Himid,MF,05.11.1992,Tanzania,Talaea El Gish,Égypte
8,Morice Michael Abraham,Morice,MF,13.08.2003,Tanzania,RFK Novi Sad,Serbie
9,Cyprian Thobias Kachwele,KACHWELE,DF,15.02.2005,Tanzania,AZAM FC,Tanzanie
10,Mbwana Ally Samatta,Samatta,FW,23.12.1992,Tanzania,PAOK,Grèce
11,Tarryn Allarakhia,TARRYN,MF,17.10.1997,Tanzania,Wealdstone fc,Royaume-Uni
12,Saimon Happygod Msuva,Msuva,FW,02.10.1993,Tanzania,JS KABYLIE,Algérie
13,Beno David Kakolanya,Beno,GK,27.06.1994,Tanzania,Singida Big Stars FC,Tanzanie
14,Bakari Mwamnyeto Nondo,Mwamnyeto,DF,05.11.1997,Tanzania,YANGA SC,Tanzanie
15,Mohamed Hussein Mohamed,Shabalala,DF,01.11.1996,Tanzania,Simba SC,Tanzanie
16,Lusajo Elukaga Mwaikenda,Lusajo,DF,27.10.2000,Tanzania,"AZAM FOOTBAL CLUB
",Tanzanie
17,Sospeter Israel Bajana,Bajana,MF,14.10.1996,Tanzania,Azam Football Club,Tanzanie
18,Aishi Salum Manula,Aishi,GK,13.09.1995,Tanzania,Simba SC,Tanzanie
19,Mzamiru Yassin Saidi,Mzamiru,MF,03.01.1996,Tanzania,Simba SC,Tanzanie
20,Novatus Dismas Miroshi,Novatus,DF,02.09.2002,Tanzania,FC Shakhar Donetsk,Ukraine
21,Kokola Charles M'Mombwa,Kokola,FW,14.03.1998,Tanzania,Macarthur fc,Australie
22,Kibu Denis Prosper,KIBU,FW,04.12.2000,Tanzania,Simba SC,Tanzanie
23,Ben Anthony Starkie,Ben,MF,23.07.2002,Tanzania,Basford United fc,Angleterre
24,Abdi Hassan Banda,Banda,DF,20.04.1995,Tanzania,Richards Bay FC,"Afrique Du
Sud"
25,Abdulmalik Adam Zakaria,Abdulmalik,DF,03.03.1996,Tanzania,"Namungo Football Club
",Tanzanie
26,Miano Danilo Van Den Bos,Miano,DF,31.03.2003,Tanzania,Telford United fc,"Royaume-
Uni"
27,Mohamed Ali Omar Sagaf,Mohamed,FW,12.11.1997,Tanzania,Boreham wood fc,"Royaume-
Uni"
1,Hassen Hassen Mouez,hassen,GK,05.03.1995,Tunisie,Club Africain,Tunisie
2,Ali Elabdi,ABDI,DF,20.12.1993,Tunisie,S.MALHERBE.CAENS,France
3,Montassar Omar Talbi,TALBI,DF,26.05.1998,Tunisie,FC LORIENT,France
4,Yassine Meriah,MERIAH,DF,02.07.1993,Tunisie,ESTUNIS,Tunisie
5,Mohamed Ali Ben Romdhane,BEN ROMDHANE,MF,06.09.1999,Tunisie,Ferencvaros T.C.,Hongrie
6,Houssem Tka,TKA,MF,16.08.2000,Tunisie,ESTUNIS,Tunisie
7,Youssef Msakni,MSAKNI,FW,28.10.1990,Tunisie,AL Arabi,Qatar
8,Hamza Rafia,RAFIA,MF,02.04.1999,Tunisie,US LECCE,Italie
9,Haithem Jouini,JOUINI,FW,07.05.1993,Tunisie,STADETUNISIEN,Tunisie
10,Anis Ben Slimane,BEN SLIMANE,MF,16.03.2001,Tunisie,SHEFFIELD UNITED,Angleterre
11,Taha Yassine Khnissi,KHNISSI,FW,16.01.1992,Tunisie,Al Kuwait,Koweït
12,Ali Maaloul,MAALOUL,DF,01.01.1990,Tunisie,Al Ahly SC,Égypte
13,Hamza Jlassi,JLASSI,DF,29.09.1991,Tunisie,Etoile Sportie du Sahel,Tunisie
14,Aissa Bilal Laidouni,LAIDOUNI,MF,13.12.1996,Tunisie,Union Berlin,Allemagne
15,Oussama Hadadi,HADADI,DF,28.01.1992,Tunisie,Greuther Fürth,Allemagne
16,Dahman Aymen,DAHMAN,GK,28.01.1997,Tunisie,AL HAZEM,Arabie Saoudite
17,Ellyes Joris Skhiri,SKHIRI,MF,10.05.1995,Tunisie,Eintracht Frankfurt,Allemagne
18,Sayfallah Ltaief,LTAIEF,FW,22.04.2000,Tunisie,FC Winterthour,Suisse
19,Bassem Srarfi,SRARFI,FW,25.06.1997,Tunisie,Club Africain,Tunisie
20,Valery Yan,VALERY,DF,22.02.1999,Tunisie,ANGERS SCO,France
21,Wajdi Kechrida,KECHRIDA,DF,05.11.1995,Tunisie,Atromitos FC,Grèce
22,Bechir Ben Said,BEN SAID,GK,29.11.1992,Tunisie,USMO,Tunisie
23,Naim Sliti,SLITI,FW,27.07.1992,Tunisie,AL-AHLI SFC,Qatar
24,Seifeddine Jaziri,JAZIRI,FW,11.02.1993,Tunisie,Zamalek SC,Égypte
25,Mohamed Belhadj Mahmoud,BELHAJ MAHMOUD,MF,24.04.2000,Tunisie,FC LUGANO,Suisse
26,Alaa Ghram,GHRAM,DF,24.07.2001,Tunisie,"Club Sportif Sfaxien CSS
",Tunisie
27,Achouri Elyes,ACHOURI,FW,10.02.1999,Tunisie,FC COPENHAGUE,Danemark
1,Toaster Nsabata,NSABATA,GK,24.11.1993,Zambia,ZESCO UNITED FC,Zambie
2,Zephania Phiri,PHIRI,DF,19.11.1996,Zambia,PRISONS LEOPARD,Zambie
3,Benedict Chepeshi,CHEPESHI,DF,10.06.1996,Zambia,RED ARROWS FC,Zambie
4,Frankie Chisenga Musonda,MUSONDA,DF,12.12.1997,Zambia,ARYER FC,Écosse
5,Changa Miguel Chaiwa,CHAIWA,MF,07.06.2004,Zambia,BSC YOUNG BOYS,Suisse
6,Benson Sakala,SAKALA,MF,12.09.1996,Zambia,FK MLADA,République tchèque
7,Kelvin Mubanga Kampamba,KAMPAMBA,MF,24.11.1996,Zambia,ZESCO UNITED FC,Zambie
8,Sailas Lubambo Musonda,MUSONDA,MF,01.03.1995,Zambia,SILKBORG,Danemark
9,Lameck Banda,BANDA,FW,29.01.2001,Zambia,LEECE,Italie
10,Fashon Junior Sakala,SAKALA,FW,14.03.1997,Zambia,Al Fayha club,Arabie Saoudite
11,Rally Bwalya,BWALYA,MF,29.05.1995,Zambia,Sekhukhune United FC,"Afrique
Du Sud"
12,Emmanuel Junior Banda,BANDA,MF,29.09.1997,Zambia,REIJKA FC,Croatie
13,Stoppila Sunzu,SUNZU,DF,22.06.1989,Zambia,JINAN QINGDAO,Chine
14,Edward Chilufya,CHILUFYA,MF,17.09.1999,Zambia,BK Hacken,Suède
15,Kelvin Kapumbu,KAPUMBU,MF,06.04.1996,Zambia,Zanaco Football Club,Zambie
16,Lawrence Mulenga,MULENGA,GK,21.08.1996,Zambia,"Power Dynamos Football Club
",Zambie
17,Clatous Chama,CHAMA,MF,18.06.1991,Zambia,SIMBA FC,Tanzanie
18,Francis Mwansa,MWANSA,GK,17.03.2002,Zambia,Green Buffaloes FC,Zambie
19,Fredrick Mulambia,MULAMBIA,MF,10.07.1999,Zambia,Power Dynamos FC,Zambie
20,Patson Daka,DAKA,FW,09.10.1998,Zambia,LEICESTER CITY,Angleterre
21,Dominic Chanda,CHANDA,DF,26.02.1996,Zambia,KABWE WARRIORS,Zambie
22,Kings Kangwa,KANGWA,MF,06.04.1999,Zambia,Red Star,Serbie
23,Rodrick Kabwe,KABWE,DF,30.11.1992,Zambia,ZAHKO FC,Irak
24,Golden Mafwenta,MAFWENTA,MF,15.01.2001,Zambia,MFK vyskov,"République
tchèque"
25,Kennedy Musonda,MUSONDA,FW,22.12.1994,Zambia,YANGA SC,Tanzanie
26,Tandi Mwape,MWAPE,DF,20.07.1996,Zambia,TP MAZEMBE,Congo
27,Gift Prosper Mphande,MPHANDE,DF,12.02.2003,Zambia,,
